Publication.title,General.area.of.coverage,canNo,startReel,endReel,startDate,endDate,Title.ID
"The Stourbridge Observer, Cradley Heath, Halesowen & District Chronicle",West Midlands,12991,14,14,1869,,013908385
"The Stourbridge Observer, Cradley Heath, Halesowen & District Chronicle",West Midlands,12991,15,15,1870,,013908385
"The Stourbridge Observer, Cradley Heath, Halesowen & District Chronicle",West Midlands,12991,16,16,1871,,013908385
"The Stourbridge Observer, Cradley Heath, Halesowen & District Chronicle",West Midlands,12991,17,17,1872,,013908385
"The Stourbridge Observer, Cradley Heath, Halesowen & District Chronicle",West Midlands,12991,18,18,1873,,013908385
"The Stourbridge Observer, Cradley Heath, Halesowen & District Chronicle",West Midlands,12991,19,19,1874,,013908385
"The Stourbridge Observer, Cradley Heath, Halesowen & District Chronicle",West Midlands,11970,6,6,1877,,013908385
"The Stourbridge Observer, Cradley Heath, Halesowen & District Chronicle",West Midlands,12991,11,11,1866 Oct 0,1866 Dec,013908385
The Merthyr Express,Mid Glamorgan,4813,10,10,1882,,013894492
The Merthyr Express,Mid Glamorgan,4813,11,11,1883,,013894492
The Merthyr Express,Mid Glamorgan,4813,12,12,1884,,013894492
The Merthyr Express,Mid Glamorgan,4813,13,13,1885,,013894492
The Merthyr Express,Mid Glamorgan,4453,11,11,1886,,013894492
The Merthyr Express,Mid Glamorgan,4813,9,9,1881 Jul,1881 Dec,013894492
The Merthyr Express,Mid Glamorgan,4813,14,14,1886 Jan 0,1886 Feb 13,013894492
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,4813,14,14,1886 Feb 2,1886 Dec 25,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,4813,15,15,1887,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,4813,16,16,1888,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,4813,17,17,1889,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,4814,1,1,1890,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,4814,2,2,1891,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,4814,3,3,1892,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,4814,4,4,1893,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,4814,5,5,1894,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,4814,6,6,1895,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,4814,7,7,1896,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,4814,8,8,1897,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,5190,13,13,1898,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,4814,9,9,1899,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,4643,6,6,1900,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,4643,7,7,1901,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,4643,8,8,1902,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,4643,9,9,1903,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,4643,10,10,1904,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,4643,11,11,1905,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,4643,12,12,1906,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,4643,13,13,1907 Jan,1907 Jun,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,4643,14,14,1907 Jul,1907 Dec,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,4643,15,15,1908,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,4645,1,1,1909,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,6209,2,2,1910,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,5190,14,14,1911,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,6209,3,3,1912,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,6209,4,4,1913,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,6209,5,5,1914,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,6209,6,6,1915,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,6209,7,7,1916,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,6209,8,8,1917,1918,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,6209,9,9,1919,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,6210,1,1,1920,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,6210,2,3,1921,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,6210,4,5,1922,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,6210,6,6,1923,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,7295,1,1,1924,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,7295,2,2,1925,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,7295,3,3,1926,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,7295,4,4,1927,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,7295,5,5,1928,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,7295,6,6,1929,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,7295,7,7,1930,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,7295,8,8,1931,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,7295,9,9,1932,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,7295,10,10,1933,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,7294,1,2,1934,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,7294,3,3,1935,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,7294,4,4,1936,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,7294,5,5,1937,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,7294,6,6,1938,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,7294,7,7,1939,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,7294,8,8,1940,1941,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,7294,9,9,1942,1943,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,7294,10,10,1944,1945,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,7296,4,4,1946,1947,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,7296,5,5,1948,1949,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,7296,6,6,1950,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,7296,7,7,1951,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,7296,8,8,1952,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,7296,9,9,1953,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,7355,1,2,1986,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,5639,7,8,1986,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,8866,8,10,1987,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,8879,4,6,1987,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,9354,1,3,1988,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,9319,1,3,1988,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,10046,6,9,1989,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,10054,12,14,1989,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,10833,8,9,1990 Jan,1990 Aug 23,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,10833,10,10,1990 Oct 1,1990 Dec 27,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,10976,9,11,1990,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,11812,9,9,1991 Jan 0,1991 May 02,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,11656,8,8,1991 Jan,1991 Mar,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,11656,9,9,1991 Apr,1991 Jun,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,11658,1,1,1991 Jul,1991 Dec,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,12139,3,4,1992,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,13079,8,11,1993,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,14592,1,3,1994,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,15074,8,11,1995,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,22193,8,12,2005,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,22193,13,15,2006 Jan,2006 Jun,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,22194,1,2,2006 Jul,2006 Dec,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,22194,3,8,2007,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,22194,9,14,2008,,013943828
"The Merthyr Express, Aberdare and East Glamorgan Herald, Tredegar and West Monmouth Times",Mid Glamorgan,22345,5,10,2009,,013943828
The Telegram,Dorset,11712,9,9,1886 May 2,1886 Dec 28,013900991
The Telegram,Dorset,11712,10,10,1887,,013900991
The Telegram,Dorset,11712,11,11,1888,,013900991
The Telegram,Dorset,11712,12,12,1889,,013900991
The Telegram,Dorset,11712,13,13,1890,,013900991
The Telegram,Dorset,11712,14,14,1891,,013900991
The Telegram,Dorset,11712,15,15,1892,,013900991
The Telegram,Dorset,11713,1,1,1893,,013900991
The Telegram,Dorset,11713,2,2,1894,,013900991
The Telegram,Dorset,11713,3,3,1895,,013900991
The Telegram,Dorset,11713,4,4,1896,,013900991
The Telegram,Dorset,1256,19,19,1897 May 1,1897 Dec 28,013900991
The Telegram,Dorset,11713,5,5,1899,,013900991
The Telegram,Dorset,11713,6,6,1900,,013900991
The Telegram,Dorset,11713,7,7,1901 Jan 0,1901 Jun 25,013900991
The North Cumberland Reformer,Cumbria,1498,8,8,1890 Apr 1,1890 Dec 25,013905829
The North Cumberland Reformer,Cumbria,11892,11,11,1892,,013905829
The North Cumberland Reformer,Cumbria,18616,7,7,1891,,013905829
The North Cumberland Reformer,Cumbria,18616,8,10,1893,1895,013905829
The Stockton & Thornaby Herald and South Durham Advertiser,Cleveland,8460,13,13,1893,,013894027
The Stockton & Thornaby Herald and South Durham Advertiser,Cleveland,8460,14,14,1894,,013894027
The Stockton & Thornaby Herald and South Durham Advertiser,Cleveland,8461,1,1,1895,,013894027
The Stockton & Thornaby Herald and South Durham Advertiser,Cleveland,8461,2,2,1896,,013894027
The Stockton & Thornaby Herald and South Durham Advertiser,Cleveland,8488,1,1,1897,,013894027
The Stockton & Thornaby Herald and South Durham Advertiser,Cleveland,8500,12,12,1898,,013894027
The Stockton & Thornaby Herald and South Durham Advertiser,Cleveland,8461,3,3,1899,,013894027
The Stockton & Thornaby Herald and South Durham Advertiser,Cleveland,8461,4,4,1900,,013894027
The Stockton & Thornaby Herald and South Durham Advertiser,Cleveland,8461,5,5,1901,,013894027
The Stockton & Thornaby Herald and South Durham Advertiser,Cleveland,8461,6,6,1902,,013894027
The Stockton & Thornaby Herald and South Durham Advertiser,Cleveland,8461,7,7,1903,,013894027
The Stockton & Thornaby Herald and South Durham Advertiser,Cleveland,8461,8,8,1904,,013894027
The Stockton & Thornaby Herald and South Durham Advertiser,Cleveland,8461,9,9,1905,,013894027
The Stockton & Thornaby Herald and South Durham Advertiser,Cleveland,8461,10,10,1906,,013894027
The Stockton & Thornaby Herald and South Durham Advertiser,Cleveland,8461,11,11,1907,,013894027
The Stockton & Thornaby Herald and South Durham Advertiser,Cleveland,8461,12,12,1908,,013894027
The Stockton & Thornaby Herald and South Durham Advertiser,Cleveland,8461,13,13,1909,,013894027
The Stockton & Thornaby Herald and South Durham Advertiser,Cleveland,980,4,4,1910 Jan 1,1910 Dec 31,013894027
The Stockton & Thornaby Herald and South Durham Advertiser,Cleveland,841,12,12,1911 Jan 0,1911 Nov 18,013894027
The Stockton & Thornaby Herald and South Durham Advertiser,Cleveland,9078,1,1,1912,,013894027
The Stockton & Thornaby Herald and South Durham Advertiser,Cleveland,9078,2,2,1913,,013894027
The Stockton & Thornaby Herald and South Durham Advertiser,Cleveland,9078,3,3,1914,,013894027
The Stockton & Thornaby Herald and South Durham Advertiser,Cleveland,9078,4,4,1915,,013894027
The Stockton & Thornaby Herald and South Durham Advertiser,Cleveland,9078,5,5,1916,,013894027
The Stockton & Thornaby Herald and South Durham Advertiser,Cleveland,9078,6,6,1917,,013894027
The Stockton & Thornaby Herald and South Durham Advertiser,Cleveland,9078,7,7,1918 Jan 0,1918 Apr 27,013894027
The Stockton & Thornaby Herald and South Durham Advertiser,Cleveland,8460,12,12,1892 Oct 0,1892 Dec 31,013894027
The Northern News,Cumbria,569,4,4,1898,,013905830
The Northern News,Cumbria,18616,11,12,1896,1897,013905830
The Weekly Journal,Cleveland,9597,5,5,1901 Nov 2,1902 Dec 26,013897666
The Weekly Journal,Cleveland,9597,6,6,1903,,013897666
The Weekly Journal,Cleveland,9597,7,7,1904,,013897666
The Weekly Journal,Cleveland,9597,8,9,1905,,013897666
The Weekly Journal,Cleveland,9597,10,11,1906,,013897666
The Weekly Journal,Cleveland,9597,12,13,1907,,013897666
The Weekly Journal,Cleveland,9597,14,15,1908,,013897666
The Weekly Journal,Cleveland,9597,16,16,1909 Jan 0,1909 Sep 17,013897666
The Weymouth Telegram,Dorset,11713,8,8,1902,,013900992
The Weymouth Telegram,Dorset,11713,9,9,1903,,013900992
The Weymouth Telegram,Dorset,11713,10,10,1904,,013900992
The Weymouth Telegram,Dorset,11713,11,11,1905,,013900992
The Weymouth Telegram,Dorset,11713,12,12,1906,,013900992
The Weymouth Telegram,Dorset,11713,13,13,1907,,013900992
The Weymouth Telegram,Dorset,11714,1,1,1908,,013900992
The Weymouth Telegram,Dorset,11714,2,2,1909,,013900992
The Weymouth Telegram,Dorset,11714,3,3,1910,,013900992
The Weymouth Telegram,Dorset,11714,4,4,1911,,013900992
The Weymouth Telegram,Dorset,11714,5,5,1913,,013900992
The Weymouth Telegram,Dorset,11714,6,6,1914,,013900992
The Weymouth Telegram,Dorset,11714,7,7,1915,,013900992
The Weymouth Telegram,Dorset,11714,8,8,1916,,013900992
The Weymouth Telegram,Dorset,11714,9,9,1917,,013900992
The Weymouth Telegram,Dorset,11714,10,10,1918,1919,013900992
The Weymouth Telegram,Dorset,11714,11,11,1920,,013900992
The Weymouth Telegram,Dorset,11714,12,12,1921,,013900992
The Weymouth Telegram,Dorset,11714,13,13,1922,,013900992
The Weymouth Telegram,Dorset,11714,14,14,1923,,013900992
The Weymouth Telegram,Dorset,11714,15,15,1924,,013900992
The Weymouth Telegram,Dorset,11714,16,16,1925,,013900992
The Weymouth Telegram,Dorset,11714,17,17,1926,,013900992
The Weymouth Telegram,Dorset,11718,6,6,1927 Jan 0,1927 Sep 30,013900992
The Weymouth Telegram,Dorset,11713,7,7,1901 Jul 0,1901 Dec 31,013900992
Stockton & Tees-side Herald,Cleveland,11193,1,1,1929 Jan 0,1929 Apr 27,013894028
Stockton & Tees-side Herald,Cleveland,9078,7,7,1918 May 0,1919 Dec 31,013894028